frame_count,id,x,y,color
17,16,149,237,red
17,7,420,237,red
17,13,984,334,blue
17,11,798,402,blue
17,3,1144,303,blue
17,12,273,299,red
17,14,1029,227,blue
17,10,620,273,blue
17,15,728,216,blue
17,17,526,188,red
17,25,1259,365,blue
18,4,636,498,red
18,11,797,401,blue
18,2,909,509,blue
18,8,289,367,red
18,13,985,335,blue
18,7,420,238,red
18,3,1145,304,blue
18,14,1030,227,blue
18,5,909,295,blue
18,12,274,300,red
18,9,1258,398,blue
18,16,149,237,red
18,6,619,332,red
18,15,731,214,blue
18,10,619,274,blue
18,17,527,188,red
18,20,902,285,blue
18,25,1263,373,blue
19,4,643,498,red
19,11,796,402,blue
19,2,912,510,blue
19,13,988,336,blue
19,8,290,368,red
19,3,1148,304,blue
19,5,907,295,blue
19,25,1262,399,blue
19,7,421,238,red
19,16,149,237,red
19,14,1033,227,blue
19,12,276,299,red
19,6,619,330,red
19,10,617,274,blue
19,17,529,189,red
20,4,652,496,red
20,2,916,511,blue
20,8,292,369,red
20,11,794,402,blue
20,7,423,238,red
20,13,990,335,blue
20,3,1152,304,blue
20,25,1265,400,blue
20,16,148,238,red
20,6,624,332,red
20,10,614,273,blue
20,12,280,301,red
20,17,532,188,red
20,14,1037,227,blue
20,15,741,216,blue
20,5,906,295,blue
20,18,901,268,blue
20,1,598,253,blue
21,4,662,496,red
21,7,425,237,red
21,8,294,370,red
21,2,918,511,blue
21,13,994,335,blue
21,3,1158,304,blue
21,16,150,238,red
21,6,631,331,red
21,9,1270,401,blue
21,5,905,294,blue
21,14,1042,227,blue
21,12,283,300,red
21,11,791,402,blue
21,17,535,188,red
21,15,747,217,blue
21,10,613,272,blue
22,4,673,495,red
22,2,921,507,blue
22,8,297,371,red
22,7,428,237,red
22,13,997,335,blue
22,3,1163,306,blue
22,11,791,405,blue
22,6,638,332,red
22,12,288,300,red
22,5,906,294,blue
22,16,152,236,red
22,14,1048,227,blue
22,10,612,276,blue
22,15,752,218,blue
23,4,684,495,red
23,8,301,370,red
23,2,926,507,blue
23,11,793,405,blue
23,6,646,332,red
23,13,1001,336,blue
23,7,431,238,red
23,5,909,292,blue
23,12,292,300,red
23,16,156,237,red
23,3,1170,306,blue
23,10,615,276,blue
23,15,758,219,blue
23,14,1054,227,blue
24,4,702,497,red
24,11,793,405,blue
24,2,931,507,blue
24,8,304,371,red
24,13,1006,338,blue
24,6,652,334,red
24,7,436,238,red
24,5,913,292,blue
24,3,1177,306,blue
24,10,609,276,blue
24,12,297,301,red
24,16,159,234,red
24,41,551,188,red
24,15,764,217,blue
24,14,1060,227,blue
25,2,936,510,blue
25,11,796,405,blue
25,4,721,497,red
